region,variety,method,score
kona,Hawaiian Kona,Natural / Dry,83.42
cundinamarca,Caturra,Washed / Wet,83.42
huila,Caturra,Washed / Wet,83.33
guayata,Caturra,Washed / Wet,83.33
huila,Caturra,Washed / Wet,83.33
south of minas,Catuai,Semi-washed / Semi-pulped,83.33
chiapas,Caturra,Washed / Wet,83.33
santander,Caturra,Washed / Wet,83.33
arusha,Other,Semi-washed / Semi-pulped,83.33
veracruz,Other,Washed / Wet,83.33
san ramon,Caturra,Washed / Wet,83.33
kona,Hawaiian Kona,Natural / Dry,83.33
central valley,Catuai,Washed / Wet,83.33
"thiotte, haiti",Typica,Washed / Wet,83.33
pitalito,Caturra,Natural / Dry,83.33
oriente,Bourbon,Washed / Wet,83.33
kona,Hawaiian Kona,Natural / Dry,83.33
kayanza,Bourbon,Washed / Wet,83.33
huila,Caturra,Washed / Wet,83.33
sierra madre occidental,Typica,Washed / Wet,83.25
tarrazu,Catuai,Pulped natural / honey,83.25
nuevo oriente,Pacas,Washed / Wet,83.25
"sipi, mt elgon",SL14,Washed / Wet,83.25
huila,Caturra,Natural / Dry,83.25
cuarenteÃ±o,Typica,Natural / Dry,83.25
natou county,Bourbon,Washed / Wet,83.25
å—æŠ•åœ‹å§“,Typica,Washed / Wet,83.25
eje cafetero,Caturra,Natural / Dry,83.25
antigua,Caturra,Washed / Wet,83.25
huila,Caturra,Washed / Wet,83.25
chiapas,Bourbon,Washed / Wet,83.25
kona,Hawaiian Kona,Natural / Dry,83.25
veracruz,Mundo Novo,Washed / Wet,83.25
fortÃ­n de las flores,Caturra,Washed / Wet,83.25
oriente,Bourbon,Washed / Wet,83.25
grama valley,Yellow Bourbon,Semi-washed / Semi-pulped,83.25
huila,Caturra,Washed / Wet,83.25
la plata,Caturra,Washed / Wet,83.25
south of minas,Bourbon,Natural / Dry,83.17
oriente,Bourbon,Washed / Wet,83.17
moshi,Bourbon,Washed / Wet,83.17
dala,Catimor,Natural / Dry,83.17
antigua,Caturra,Washed / Wet,83.17
marcala,Catuai,Washed / Wet,83.17
yunnan,Catimor,Washed / Wet,83.17
dehong prefecture,Catimor,Washed / Wet,83.17
apaneca,Bourbon,Washed / Wet,83.17
antigua,Bourbon,Washed / Wet,83.17
oriente,Bourbon,Washed / Wet,83.17
kenya,SL28,Washed / Wet,83.17
mbinga,Other,Washed / Wet,83.17
huila,Caturra,Washed / Wet,83.17
eastern,SL14,Washed / Wet,83.17
san marcos,Catuai,Natural / Dry,83.17
comayagua,Caturra,Natural / Dry,83.17
san marcos,Catuai,Washed / Wet,83.17
kona,Hawaiian Kona,Natural / Dry,83.17
kilimanjaro,Bourbon,Washed / Wet,83.17
oriente,Bourbon,Washed / Wet,83.17
chiapas,Typica,Washed / Wet,83.17
"tlanchinol, hidalgo",Typica,Washed / Wet,83.17
